"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_usb evidence.E01/vol_vol2/$OrphanFiles"
"access_log.txt.txt"	".txt"	"r"	"yes"	"2025-12-03 11:08:26 IST"	"2025-12-03 11:08:26 IST"	"2025-12-03 11:10:17 IST"	"0"	"38"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/access_log.txt.txt"
"hidden_note.txt.txt"	".txt"	"r"	"yes"	"2025-12-03 11:08:45 IST"	"2025-12-03 11:08:45 IST"	"2025-12-03 11:10:17 IST"	"0"	"42"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/hidden_note.txt.txt"
"IMG 1.jpg"	".jpg"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"53673"	"45"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 1.jpg"
"IMG 1.jpg-slack"	".jpg-slack"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"3671"	"45"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 1.jpg-slack"
"IMG 2.png"	".png"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"87205"	"46"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 2.png"
"IMG 2.png-slack"	".png-slack"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"2907"	"46"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 2.png-slack"
"IMG 3.png"	".png"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"85740"	"47"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 3.png"
"IMG 3.png-slack"	".png-slack"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"276"	"47"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 3.png-slack"
"IMG 4.png"	".png"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"91059"	"48"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 4.png"
"IMG 4.png-slack"	".png-slack"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"3149"	"48"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 4.png-slack"
"IMG 5.png"	".png"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"179454"	"49"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 5.png"
"IMG 5.png-slack"	".png-slack"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"770"	"49"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 5.png-slack"
"IMG 6.jpg"	".jpg"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"58936"	"50"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 6.jpg"
"IMG 6.jpg-slack"	".jpg-slack"	"r"	"yes"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:45 IST"	"2504"	"50"	"null"	"unknown"	"r---------"	"/img_usb evidence.E01/vol_vol2/USB_FILES/SCREENSHOTS/IMG 6.jpg-slack"

